CW01|Humble Beginnings|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=a3d109cd&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Made using the free <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword builder</a> from Amuse Labs</div></div>"|N
CW02|Controlled Chaos|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=76b14631&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Created with the <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword puzzle builder</a> from Amuse Labs</div></div>"|N
CW03|Loch Ness|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=33da6303&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Created using PuzzleMe's free <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword puzzle generator</a></div></div>"|N
CW04|Heartbreak 1|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=2b4757f8&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Created using the <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">cross word creator</a> from Amuse Labs</div></div>"|N
CW05|Heartbreak 2| "<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=bf7c9e7f&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Constructed with the online <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">cross word generator</a> from Amuse Labs</div></div>"|N
CW06|The Donut (Alex goodbye)|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=781dd587&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Made using PuzzleMe's <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword maker</a></div></div>"|N
CW07|Squared Up|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=cd1a62d6&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Built with the online <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword puzzle builder</a> from Amuse Labs</div></div>"|N
CW08|Fading Away|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=8ce17a0a&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Constructed with the <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">cross word builder</a> from Amuse Labs</div></div>"|N
CW09|Mr.Fugly|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=693bc84f&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Created with the free <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword generator</a> from Amuse Labs</div></div>"|N
CW10|Magnum Opus|"<div style="position: relative; text-align: center;"><iframe height="700px" width="100%" allow="web-share; fullscreen" style="border:none; width: 100% !important; position: static;display: block !important; margin: 0 !important;" src="https://puzzleme.amuselabs.com/pmm/crossword?id=65a58bb4&set=026ee68fcbb58c6eba48b8fe700822811a8062b259bfae8ce8b531e0bc87b626&embed=1" aria-label="Puzzle Me Game"> </iframe><div class="pm-attribution-div" style="font-family: sans-serif; font-size: 12px; color: rgb(102, 102, 102); position: absolute; top: 100%; left: 50%; transform: translate(-50%, 0px); padding-top: 5px; width: 100%;">Made using the online <a href="https://amuselabs.com/games/crossword/" target="_blank" style="color: #666666; text-decoration: underline;">crossword builder</a> from Amuse Labs</div></div>"|N
